NPA,2011,2014,2015,2016,2017,2018,2019,2021,2022,2023,2011 Raw,2014 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2021 Raw,2022 Raw,2023 Raw
330,"0.1%","0%","0%","0%","0%","0%","0%","0%","0%","0%","1","0","0","0","0","0","0","0","0","0"
331,"2.4%","2.4%","2.4%","2.4%","2.4%","1.9%","54%","44.9%","50.2%","36.1%","17","17","17","17","17","17","839","839","839","838"
332,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
333,"17%","0%","0%","0%","0%","0%","0%","0%","0%","0%","174","0","0","0","0","0","0","0","0","0"
334,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
335,"34.3%","40.9%","39.4%","39.4%","53.2%","32.6%","37.2%","35.6%","35%","33.7%","355","434","434","441","598","366","442","441","442","442"
336,"0%","0%","0%","0%","41.5%","44.3%","37.5%","36.9%","33.7%","32.7%","0","0","0","0","793","846","1,030","1,030","1,030","1,036"
337,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
338,"0%","0%","86.3%","86.3%","95.3%","85.8%","96.8%","96.8%","96.8%","97.7%","0","0","1,151","1,151","1,234","1,107","1,857","1,857","1,857","2,548"
339,"0%","0%","0%","0%","0%","33%","30.4%","28.4%","20.6%","0%","0","0","0","0","0","443","431","434","434","0"
343,"52.8%","61%","61.7%","61.8%","61.6%","45.7%","47.7%","51.4%","52.6%","46.5%","496","515","529","532","530","492","505","588","614","703"
344,"74%","72.3%","70.5%","70.8%","76.3%","69.4%","70.5%","73.7%","69.2%","54%","538","544","555","562","640","590","597","624","586","481"
345,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
346,"0%","0%","0%","0%","0%","0%","0%","0%","20.6%","0%","0","0","0","0","0","0","0","0","217","0"
347,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
348,"0.1%","0%","0%","0%","0%","0%","0%","0%","0%","0%","1","0","0","0","0","0","0","0","0","0"
349,"78.1%","75%","75%","74.8%","70.3%","72.5%","66.2%","61.4%","76.5%","76.3%","616","592","592","591","467","465","345","325","588","585"
350,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
351,"43%","48.8%","46.3%","46%","45.6%","36.5%","45.9%","45.8%","45.6%","45.5%","170","202","203","203","204","165","214","214","213","214"
352,"12.9%","16.5%","16.5%","16.5%","16.5%","13.5%","16.5%","16.5%","16.5%","16.5%","147","188","189","189","189","154","189","189","189","189"
353,"12.7%","16.2%","16.3%","16.3%","16.3%","12.2%","15.8%","16.4%","16.9%","14.2%","123","161","163","163","163","122","170","180","188","188"
