NPA,2011,2013,2015,2017,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2017 Raw,2020 Raw,2022 Raw,2023 Raw
456,"8%","66.8%","100%","100%","100%","100%","100%","16","369","546","399","260","324","325"
457,"58.7%","58.7%","58.6%","58.6%","59%","58.9%","58.9%","215","215","214","215","216","216","216"
458,"65.8%","65.7%","65.7%","65.7%","64.5%","63.6%","63.6%","258","259","259","259","254","245","245"
459,"85.4%","85.6%","47.6%","47.6%","47.5%","47.5%","21.1%","833","835","464","464","460","483","222"
460,"41.8%","42.6%","99.1%","71.8%","99.1%","75.5%","63.5%","442","457","1,074","777","1,133","1,138","968"
462,"21.9%","20.3%","19.3%","16.7%","14.7%","10.5%","9.7%","152","151","147","144","161","143","153"
463,"92%","92.1%","92.2%","53.1%","96.8%","77.4%","79.1%","922","931","930","572","2,308","1,843","1,856"
464,"34.1%","32.8%","32.8%","6.6%","54.2%","40.1%","40.4%","418","418","418","95","1,351","1,004","1,017"
465,"44.6%","44.6%","44.6%","44.6%","44.8%","44.9%","5.4%","221","221","221","221","222","223","27"
466,"49%","48.7%","49.2%","49.3%","49.4%","46.5%","44.1%","457","458","467","477","494","496","497"
467,"38.6%","37%","37%","36.9%","37%","26.1%","26.1%","262","263","263","263","263","263","263"
468,"0%","0%","11.4%","9.3%","0%","0%","--","0","0","10","8","0","0","0"
469,"0%","0%","0%","0%","0%","0%","--","0","0","0","0","0","0","0"
470,"0%","0%","0%","0%","0%","0%","--","0","0","0","0","0","0","0"
471,"88%","88.1%","56.4%","29.1%","59.9%","59.6%","59.5%","1,117","1,123","717","370","937","937","940"
472,"16%","16%","16.1%","15.6%","0.2%","15.3%","15.1%","85","86","87","86","1","89","90"
473,"38%","38%","48.8%","49%","37.2%","36.6%","35.1%","386","391","509","515","408","409","409"
474,"48.2%","48%","48.4%","48.1%","46.3%","47.7%","49.8%","551","551","556","556","539","557","608"
475,"48%","60.7%","57.2%","58%","37.6%","34.8%","36.2%","287","498","483","509","285","305","334"
476,"98.9%","98.9%","100%","96.6%","99.4%","90%","93.3%","7,464","7,488","8,035","8,620","11,576","12,426","13,363"
