NPA,2011,2013,2015,2016,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2020 Raw,2022 Raw,2023 Raw
403,"--","2","2","3","2","--","--","0","15","12","19","13","0","0"
404,"--","0","3","3","--","--","--","0","1","23","27","0","0","0"
405,"--","1","0","1","--","--","--","0","9","6","10","0","0","0"
406,"--","4","6","2","1","--","--","0","32","48","20","15","0","0"
407,"--","3","3","3","3","--","--","0","22","19","20","20","0","0"
408,"--","1","3","3","2","--","--","0","15","32","29","19","0","0"
409,"--","0","0","0","--","--","--","0","5","5","3","0","0","0"
410,"--","0","1","0","--","--","--","0","2","6","1","0","0","0"
411,"--","0","0","0","--","--","--","0","1","1","1","0","0","0"
412,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
413,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
416,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
417,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
418,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
419,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
420,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
421,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
422,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
423,"--","0","6","2","2","--","--","0","3","41","16","18","0","0"
424,"--","--","0","--","--","--","--","0","0","1","0","0","0","0"
425,"--","1","2","1","1","--","--","0","3","8","4","5","0","0"
426,"--","0","5","--","--","--","--","0","0","37","0","0","0","0"
428,"--","6","6","3","2","1","0","0","30","30","14","11","5","1"
430,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
431,"--","5","4","3","3","--","--","0","35","26","18","23","0","0"
432,"--","0","3","--","--","--","--","0","4","27","0","0","0","0"
433,"--","0","2","--","--","--","--","0","1","5","0","0","0","0"
434,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
435,"--","4","10","6","4","--","--","0","9","23","14","10","0","0"
436,"--","5","3","5","3","--","--","0","32","19","28","21","0","0"
437,"--","--","0","--","--","--","--","0","0","1","0","0","0","0"
438,"--","0","1","0","--","--","--","0","3","9","4","0","0","0"
442,"--","0","3","1","2","--","0","0","1","19","10","15","0","3"
443,"--","--","--","--","--","--","0","0","0","0","0","0","0","2"
